left_group,right_group,left_size,right_size,signature_jaccard
a1_multiheavy_mixed_compute_round9_eval_seed314,a1_multiheavy_mixed_compute_round9_eval_seed315,8,1,0.0
a1_multiheavy_mixed_compute_round9_eval_seed314,a1_multiheavy_mixed_compute_round9_eval_seed316,8,2,0.0
a1_multiheavy_mixed_compute_round9_eval_seed314,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,8,8,0.0
a1_multiheavy_mixed_compute_round9_eval_seed314,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,8,0,0.0
a1_multiheavy_mixed_compute_round9_eval_seed314,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,8,0,0.0
a1_multiheavy_mixed_compute_round9_eval_seed314,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,8,1,0.0
a1_multiheavy_mixed_compute_round9_eval_seed314,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,8,0,0.0
a1_multiheavy_mixed_compute_round9_eval_seed314,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,8,0,0.0
a1_multiheavy_mixed_compute_round9_eval_seed315,a1_multiheavy_mixed_compute_round9_eval_seed316,1,2,0.0
a1_multiheavy_mixed_compute_round9_eval_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,1,8,0.0
a1_multiheavy_mixed_compute_round9_eval_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,1,0,0.0
a1_multiheavy_mixed_compute_round9_eval_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,1,0,0.0
a1_multiheavy_mixed_compute_round9_eval_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,1,1,0.0
a1_multiheavy_mixed_compute_round9_eval_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,1,0,0.0
a1_multiheavy_mixed_compute_round9_eval_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,1,0,0.0
a1_multiheavy_mixed_compute_round9_eval_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,2,8,0.0
a1_multiheavy_mixed_compute_round9_eval_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,2,0,0.0
a1_multiheavy_mixed_compute_round9_eval_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,2,0,0.0
a1_multiheavy_mixed_compute_round9_eval_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,2,1,0.0
a1_multiheavy_mixed_compute_round9_eval_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,2,0,0.0
a1_multiheavy_mixed_compute_round9_eval_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,2,0,0.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,8,0,0.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,8,0,0.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,8,1,0.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,8,0,0.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,8,0,0.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,0,0,1.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,0,1,0.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,0,0,1.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,0,0,1.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,0,1,0.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,0,0,1.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,0,0,1.0
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,1,0,0.0
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,1,0,0.0
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,0,0,1.0
