seed,suite,variant,average_regret,p95_regret,deadline_miss_rate,rollout_next_hop_accuracy
311,branching3,Multiheavy,6.947886943817139,15.544229507446287,1.0,0.911591355599214
311,deeper_packets6,Multiheavy,3.6074914932250977,9.192599296569824,0.875,0.9530075187969924
311,heavy_dynamic,Multiheavy,6.616677284240723,24.66388702392578,1.0,0.9396433470507544
311,branching3,ConditionalVerifierPolicy,6.8422465324401855,15.544229507446287,1.0,0.9135559921414538
311,deeper_packets6,ConditionalVerifierPolicy,3.4164037704467773,9.192599296569824,0.875,0.9586466165413534
311,heavy_dynamic,ConditionalVerifierPolicy,8.362306594848633,29.44192123413086,1.0,0.9300411522633744
312,branching3,Multiheavy,6.8422465324401855,15.544229507446287,1.0,0.9135559921414538
312,deeper_packets6,Multiheavy,4.278659820556641,11.714221954345703,0.875,0.9569288389513108
312,heavy_dynamic,Multiheavy,11.095745086669922,29.44192123413086,1.0,0.926530612244898
312,branching3,ConditionalVerifierPolicy,6.8422465324401855,15.544229507446287,1.0,0.9135559921414538
312,deeper_packets6,ConditionalVerifierPolicy,3.4164037704467773,9.192599296569824,0.875,0.9586466165413534
312,heavy_dynamic,ConditionalVerifierPolicy,8.362306594848633,29.44192123413086,1.0,0.9300411522633744
313,branching3,Multiheavy,6.865077018737793,15.544229507446287,1.0,0.9135559921414538
313,deeper_packets6,Multiheavy,3.4164037704467773,9.192599296569824,0.875,0.9586466165413534
313,heavy_dynamic,Multiheavy,8.362306594848633,29.44192123413086,1.0,0.9300411522633744
313,branching3,ConditionalVerifierPolicy,6.8422465324401855,15.544229507446287,1.0,0.9135559921414538
313,deeper_packets6,ConditionalVerifierPolicy,6.839240550994873,24.036178588867188,0.875,0.9501845018450183
313,heavy_dynamic,ConditionalVerifierPolicy,10.692790031433104,35.328834533691406,1.0,0.926530612244898
mean,branching3,ConditionalVerifierPolicy,6.8422465324401855,15.544229507446287,1.0,0.9135559921414537
mean,branching3,Multiheavy,6.885070164998372,15.544229507446287,1.0,0.9129011132940406
mean,deeper_packets6,ConditionalVerifierPolicy,4.5573493639628095,14.140459060668945,0.875,0.955825911642575
mean,deeper_packets6,Multiheavy,3.7675183614095054,10.033140182495117,0.875,0.9561943247632189
mean,heavy_dynamic,ConditionalVerifierPolicy,9.139134407043457,31.404225667317707,1.0,0.9288709722572156
mean,heavy_dynamic,Multiheavy,8.69157632191976,27.8492431640625,1.0,0.9320717038530089
mean,overall,ConditionalVerifierPolicy,6.846243434482151,20.36297141181098,0.9583333333333334,0.9327509586804149
mean,overall,Multiheavy,6.448054949442546,17.808870951334637,0.9583333333333334,0.9337223806367559
