task,suite,split,accuracy,num_classes,binary
oracle_gap_bucket,e3_memory_hubs_rsm_round8_multiheavy_seed312_train,train,0.7835583686828613,3,False
oracle_gap_bucket,e3_memory_hubs_rsm_round8_multiheavy_seed312,eval,0.762273907661438,3,False
oracle_gap_bucket,a1_multiheavy_ood_branching3_round8_eval,eval,0.7345132827758789,3,False
oracle_gap_bucket,a1_multiheavy_ood_deeper_packets6_round8_eval,eval,0.6569536328315735,3,False
oracle_gap_bucket,a1_multiheavy_ood_heavy_dynamic_round8_eval,eval,0.7330543994903564,3,False
oracle_near_tie,e3_memory_hubs_rsm_round8_multiheavy_seed312_train,train,0.9833201169967651,2,True
oracle_near_tie,e3_memory_hubs_rsm_round8_multiheavy_seed312,eval,0.975452184677124,2,True
oracle_near_tie,a1_multiheavy_ood_branching3_round8_eval,eval,0.9778761267662048,2,True
oracle_near_tie,a1_multiheavy_ood_deeper_packets6_round8_eval,eval,0.7496688961982727,2,True
oracle_near_tie,a1_multiheavy_ood_heavy_dynamic_round8_eval,eval,0.8820083737373352,2,True
hard_near_tie_baseline_error,e3_memory_hubs_rsm_round8_multiheavy_seed312_train,train,1.0,1,True
hard_near_tie_baseline_error,e3_memory_hubs_rsm_round8_multiheavy_seed312,eval,1.0,1,True
hard_near_tie_baseline_error,a1_multiheavy_ood_branching3_round8_eval,eval,1.0,1,True
hard_near_tie_baseline_error,a1_multiheavy_ood_deeper_packets6_round8_eval,eval,0.9887416958808899,1,True
hard_near_tie_baseline_error,a1_multiheavy_ood_heavy_dynamic_round8_eval,eval,0.9941422343254089,1,True
deadline_miss_risk_bucket,e3_memory_hubs_rsm_round8_multiheavy_seed312_train,train,0.9273232817649841,5,False
deadline_miss_risk_bucket,e3_memory_hubs_rsm_round8_multiheavy_seed312,eval,0.9018087983131409,5,False
deadline_miss_risk_bucket,a1_multiheavy_ood_branching3_round8_eval,eval,0.8971238732337952,5,False
deadline_miss_risk_bucket,a1_multiheavy_ood_deeper_packets6_round8_eval,eval,0.8927152156829834,5,False
deadline_miss_risk_bucket,a1_multiheavy_ood_heavy_dynamic_round8_eval,eval,0.8769874572753906,5,False
search_helpful,e3_memory_hubs_rsm_round8_multiheavy_seed312_train,train,1.0,1,True
search_helpful,e3_memory_hubs_rsm_round8_multiheavy_seed312,eval,1.0,1,True
search_helpful,a1_multiheavy_ood_branching3_round8_eval,eval,1.0,1,True
search_helpful,a1_multiheavy_ood_deeper_packets6_round8_eval,eval,0.9887416958808899,1,True
search_helpful,a1_multiheavy_ood_heavy_dynamic_round8_eval,eval,0.9941422343254089,1,True
pairwise_top2_ranking,e3_memory_hubs_rsm_round8_multiheavy_seed312_train,train,0.9491525292396545,2,True
pairwise_top2_ranking,e3_memory_hubs_rsm_round8_multiheavy_seed312,eval,0.9507299065589905,2,True
pairwise_top2_ranking,a1_multiheavy_ood_branching3_round8_eval,eval,0.9512743353843689,2,True
pairwise_top2_ranking,a1_multiheavy_ood_deeper_packets6_round8_eval,eval,0.963373064994812,2,True
pairwise_top2_ranking,a1_multiheavy_ood_heavy_dynamic_round8_eval,eval,0.9418317079544067,2,True
